time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-11T02:56:49.110Z,33.9501667,-116.831,6.26,0.75,ml,28,59,0.0533,0.17,ci,ci39548383,2021-02-11T03:00:36.584Z,"5km ENE of Banning, CA",earthquake,0.25,0.7,0.138,25,automatic,ci,ci
2021-02-11T02:55:45.520Z,36.1323333,-117.8548333,5.09,0.79,ml,8,167,0.01472,0.14,ci,ci39548375,2021-02-11T02:59:16.217Z,"13km NE of Coso Junction, CA",earthquake,0.76,0.46,0.27,8,automatic,ci,ci
2021-02-11T02:51:28.537Z,61.0026,-150.2691,19.3,1.4,ml,,,,0.31,ak,ak0211xi2a95,2021-02-11T02:57:31.450Z,"24 km ENE of Point Possession, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-02-11T02:49:33.652Z,62.2732,-150.9191,70.8,1.7,ml,,,,0.72,ak,ak0211xi20mg,2021-02-11T03:03:12.093Z,"26 km SSW of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-02-11T02:49:02.130Z,34.1176667,-116.845,3.22,0.8,ml,14,88,0.07915,0.23,ci,ci39548367,2021-02-11T02:52:45.599Z,"15km SSE of Big Bear Lake, CA",earthquake,0.59,1.37,0.166,21,automatic,ci,ci
2021-02-11T02:40:50.092Z,11.7026,-86.9922,41.52,4.8,mb,,159,0.852,1.02,us,us6000dgip,2021-02-11T02:59:52.040Z,"52 km W of Masachapa, Nicaragua",earthquake,5.7,10.1,0.03,354,reviewed,us,us
2021-02-11T02:34:43.010Z,38.777668,-122.7126694,1.39,1.21,md,15,76,0.01412,0.04,nc,nc73521411,2021-02-11T02:53:05.152Z,"2km W of Anderson Springs, CA",earthquake,0.25,0.48,0.08,6,automatic,nc,nc
2021-02-11T02:30:37.040Z,35.6798333,-117.503,10.2,1.92,ml,24,83,0.09888,0.17,ci,ci39548359,2021-02-11T02:34:27.484Z,"13km SW of Searles Valley, CA",earthquake,0.33,0.68,0.143,26,automatic,ci,ci
2021-02-11T02:24:20.972Z,-23.1647,171.6529,10,5.2,mb,,81,8.065,0.88,us,us6000dgif,2021-02-11T02:45:43.040Z,"southeast of the Loyalty Islands",earthquake,13.1,1.9,0.077,55,reviewed,us,us
2021-02-11T02:21:15.140Z,19.2101669311523,-155.419830322266,34.7299995422363,2.02999997,md,42,143,,0.119999997,hv,hv72347332,2021-02-11T02:24:29.430Z,"6 km E of Pāhala, Hawaii",earthquake,0.62,0.519999981,1.63,18,automatic,hv,hv
2021-02-11T02:20:24.159Z,60.6114,-147.3077,10.5,1.9,ml,,,,0.84,ak,ak0211xhvs6u,2021-02-11T02:25:38.086Z,"44 km SW of Tatitlek, Alaska",earthquake,,0.3,,,automatic,ak,ak
2021-02-11T02:14:08.560Z,35.6745,-117.5216667,2.21,1.42,ml,16,98,0.1003,0.19,ci,ci39548335,2021-02-11T02:18:01.393Z,"15km SW of Searles Valley, CA",earthquake,0.35,0.74,0.21,19,automatic,ci,ci
2021-02-11T02:13:29.490Z,33.637,-116.7035,9.92,0.55,ml,20,47,0.06651,0.19,ci,ci39548327,2021-02-11T02:17:16.390Z,"10km NNW of Anza, CA",earthquake,0.41,0.66,0.089,14,automatic,ci,ci
2021-02-11T02:12:55.170Z,36.0686667,-117.842,0.96,0.92,ml,9,120,0.04991,0.15,ci,ci39548319,2021-02-11T02:16:31.384Z,"10km ENE of Coso Junction, CA",earthquake,0.49,0.59,0.211,8,automatic,ci,ci
2021-02-11T02:10:26.615Z,60.6146,-151.3688,63.9,2.7,ml,,,,0.69,ak,ak0211xhtn6w,2021-02-11T02:19:17.197Z,"2 km W of Salamatof, Alaska",earthquake,,1,,,automatic,ak,ak
2021-02-11T01:49:39.856Z,62.2446,-150.3176,19.7,1.6,ml,,,,0.22,ak,ak0211xhgli9,2021-02-11T01:59:34.986Z,"9 km SSW of Trapper Creek, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-02-11T01:36:25.326Z,61.0522,-150.3147,38.6,2,ml,,,,0.7,ak,ak0211xhds2s,2021-02-11T01:39:12.734Z,"24 km NE of Point Possession, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-02-11T01:34:01.320Z,17.9238,-66.8103,12,3.03,md,22,196,0.0859,0.15,pr,pr2021042000,2021-02-11T03:07:12.040Z,"7 km S of Indios, Puerto Rico",earthquake,0.62,0.37,0.14,22,reviewed,pr,pr
